Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
245,Cerebrospinal fluid (between middle frontal gyrus RH and skull),ContA,ContB,0.5350132092269415,0.04701818278983182,0.14272323881009932
246,Cerebrospinal fluid (between precentral and postcentral gyri LH and skull),SomMotA,SomMotA,0.38769108197981106,0.08632010201850579,0.16271106463418325
247,"Superior longitudinal fasciculus I posterior, RH",No network found,No network found,0.04242710232288951,0.9574390020862998,0.0001267453828097256
248,Superior frontal sulcus RH,ContA,ContB,0.6467856096953877,0.24918004173915786,0.10089940455601176
249,Forceps major RH,No network found,No network found,0.052368795870457154,0.9449895986303939,0.0026520754272612887
250,Superior longitudinal fasciculus II LH,No network found,No network found,0.022721556054170106,0.9771895892837204,7.522900330997588e-05
251,"Supramarginal gyrus anterior, LH",SalVentAttnA,SalVentAttnA,0.6482889173425566,0.19964148081372263,0.09299154462571273
252,Callosomarginal sulcus inferior,SalVentAttnA,SalVentAttnA,0.6540396719349555,0.2934430724795647,0.05252527557192921
253,Superior temporal sulcus posterior RH,SomMotA,TempPar,0.34776636575699105,0.63757055734787,0.014674363184773017
254,Superior longitudinal fasciculus I LH,No network found,No network found,0.02738848912609605,0.9725091192553794,9.887351491010106e-05
255,Parietal operculum RH,SomMotA,SomMotB,0.6187873125214808,0.34155587812449634,0.03965870392430125
256,Precuneus superior,DorsAttnB,ContC,0.6619553683193008,0.1702196809201702,0.1672709289557377
